edad,sueldo,experiencia,a�os_empleo,etiqueta,pais
55,63736,3,8,A,Argentina
33,47975,8,6,B,Mexico
38,37962,1,9,A,Canada
34,72893,4,5,B,Estados Unidos
61,90450,11,9,B,Canada
29,93289,5,4,A,Mexico
41,49707,6,2,B,Estados Unidos
39,52284,2,9,B,Urugay
55,79436,5,3,A,Estados Unidos
50,51504,4,1,B,Urugay
32,29248,11,6,A,Estados Unidos
60,85499,14,9,A,Canada
36,58919,12,5,C,Mexico
41,38158,9,6,B,Peru
53,84376,14,1,C,Peru
31,55742,12,2,A,Mexico
41,52549,11,1,A,Estados Unidos
60,75310,1,8,B,Estados Unidos
54,58091,8,3,C,Mexico
57,65901,2,9,C,Argentina
40,98800,10,1,A,Urugay
35,40525,7,9,A,Canada
40,63024,10,,A,Mexico
55,27812,8,4,B,Canada
26,34978,1,2,B,Canada
41,98950,4,7,A,Peru
40,45293,9,5,A,Urugay
49,82360,7,2,C,Canada
20,97486,14,6,A,Peru
31,35657,6,5,C,Canada
60,58280,2,3,C,Canada
33,67636,12,4,B,Peru
49,89560,4,1,A,Canada
25,69588,12,6,B,Urugay
28,66380,10,2,A,Canada
42,27328,1,4,A,Urugay
47,45835,7,8,A,Canada
35,59258,10,3,B,Argentina
32,69540,14,8,C,Urugay
54,48809,1,5,C,Urugay
20,49577,4,3,B,Argentina
32,67237,6,9,C,Canada
42,77485,6,1,C,Urugay
27,70673,8,4,B,Estados Unidos
60,27399,4,7,A,Mexico
34,63400,6,8,C,Urugay
43,53320,13,1,C,Peru
63,88915,8,5,B,Peru
61,67243,5,7,C,Canada
40,29342,1,3,C,Estados Unidos
51,52277,9,6,A,Peru
57,28252,1,4,C,Peru
28,38605,7,5,B,Canada
38,84363,5,3,B,Urugay
26,49171,13,5,C,Urugay
29,27787,3,6,A,Estados Unidos
41,25317,11,4,B,Peru
27,41107,1,6,C,Canada
35,74585,14,5,C,Mexico
55,82575,8,1,B,Peru
37,34693,4,4,C,Canada
28,76726,12,9,C,Canada
36,88605,2,7,B,Argentina
35,92686,8,3,A,Urugay
59,91772,5,2,C,Urugay
47,36663,8,4,C,Mexico
38,77028,5,9,B,Urugay
20,93561,8,1,A,Argentina
54,27727,9,6,A,Argentina
64,50383,10,9,C,Canada
32,,12,1,C,Canada
51,49634,3,8,A,Mexico
24,81674,5,,B,Mexico
41,44304,7,9,,Estados Unidos
56,55656,9,5,A,Canada
55,42841,11,1,C,Urugay
53,87126,5,5,C,Canada
59,95464,5,5,A,Argentina
21,74232,5,2,C,Urugay
41,71671,11,4,B,Argentina
47,83862,12,2,A,Canada
31,83349,5,3,A,Argentina
28,97366,1,3,C,Estados Unidos
40,33977,12,8,B,Canada
41,74823,8,1,A,Canada
25,79658,2,5,C,Estados Unidos
58,99717,9,4,A,Urugay
37,80354,1,9,B,Peru
21,46943,12,7,B,Urugay
25,44473,12,9,B,Canada
32,64966,4,3,C,Urugay
60,41846,3,2,C,Argentina
54,38513,2,8,C,Urugay
32,94315,1,6,B,Peru
60,61928,7,3,B,Peru
25,59427,13,6,C,Urugay
57,27189,10,9,B,Peru
58,42279,11,7,A,Mexico
38,92693,13,7,C,Canada
27,40132,2,1,C,Urugay
53,85258,3,4,A,Urugay
50,35627,4,1,A,Peru
22,99249,2,9,A,Peru
22,87571,10,7,B,Urugay
33,94975,8,5,B,Argentina
55,53721,5,2,C,Canada
31,29942,3,5,C,Argentina
30,45685,14,5,A,Argentina
45,86008,12,2,A,Peru
27,80521,12,5,C,Argentina
21,76961,4,4,B,Mexico
31,33132,11,3,C,Urugay
48,62000,2,5,C,Mexico
43,71364,5,1,B,Canada
20,26086,9,2,C,Argentina
24,58912,2,9,A,Mexico
23,73403,8,2,A,Argentina
25,44957,3,4,B,Urugay
34,86410,8,5,,Estados Unidos
42,83326,1,2,C,
62,83409,1,1,B,Canada
24,40952,12,5,A,Canada
30,53706,13,1,C,Estados Unidos
22,35930,8,7,B,Estados Unidos
62,83453,14,2,A,Estados Unidos
62,73506,5,5,B,Estados Unidos
36,51566,3,4,C,Argentina
36,93191,1,7,B,Peru
21,25687,4,5,C,Mexico
20,81266,3,5,C,Argentina
42,84506,14,8,C,Estados Unidos
64,38785,8,9,C,Argentina
61,35118,4,4,B,Mexico
59,88677,8,8,C,Peru
42,61351,5,8,A,Canada
56,98540,10,3,B,Urugay
30,53966,10,5,B,Urugay
20,78207,3,2,B,Mexico
23,43520,10,3,B,Mexico
24,90426,4,9,B,Urugay
60,68327,9,6,C,Peru
54,27904,13,5,B,Canada
36,58407,3,1,B,Mexico
55,72162,2,6,C,Canada
49,61130,14,8,B,Estados Unidos
37,49801,1,8,B,Estados Unidos
21,30765,7,6,B,Canada
47,56248,2,1,A,Canada
37,57235,5,1,C,Urugay
59,95583,9,2,C,Canada
63,60280,13,8,B,Peru
23,52913,12,5,B,Urugay
38,64786,5,8,B,Urugay
31,90621,13,9,C,Peru
20,54431,10,6,B,
36,93646,13,7,A,Estados Unidos
27,38588,6,8,A,Canada
24,83446,12,3,B,Argentina
23,32746,12,7,C,Peru
43,51906,5,4,B,Urugay
33,80513,6,7,A,Urugay
38,56582,5,8,B,Urugay
57,99206,13,5,A,Canada
64,27459,5,6,A,Canada
45,25912,13,4,A,Mexico
58,92781,5,7,B,Argentina
63,28712,3,6,A,Argentina
41,93336,9,8,B,Urugay
61,72532,12,7,C,Peru
31,36751,7,9,C,Peru
47,74004,8,8,A,Urugay
42,69630,14,2,C,Urugay
57,78302,9,3,B,Canada
23,35835,4,1,B,Urugay
28,25667,13,8,A,Canada
40,88175,9,8,A,Mexico
52,28500,10,2,A,Canada
32,25634,2,9,B,Canada
35,25252,3,8,A,Mexico
56,42189,8,8,C,Argentina
27,55420,2,7,B,Argentina
59,34044,1,6,A,Peru
24,70385,10,7,A,Canada
56,82836,9,9,A,Urugay
47,80737,1,9,C,Argentina
25,51999,14,1,C,Estados Unidos
40,51931,6,3,A,Urugay
43,76349,2,1,B,Peru
49,88128,9,6,B,Canada
48,,11,3,C,
31,43698,6,1,C,Mexico
62,42846,10,2,C,Estados Unidos
58,46451,7,1,A,Estados Unidos
51,31993,14,2,C,Mexico
44,87663,14,5,B,Estados Unidos
57,31387,4,8,C,Urugay
47,97798,12,5,C,Estados Unidos
50,53714,12,2,A,Peru
40,82649,8,4,C,Urugay
25,27624,10,3,C,Urugay
23,38896,4,5,A,Peru
35,48371,1,9,A,Argentina
53,92507,9,9,B,Argentina
60,93338,13,5,B,Mexico
34,60710,12,8,B,Mexico
45,40639,4,5,A,Mexico
46,26032,4,8,C,Argentina
26,37777,1,3,B,Canada
60,57788,8,2,B,Canada
56,38605,11,7,C,Estados Unidos
60,55612,9,9,B,Peru
32,80798,14,2,A,Argentina
64,30110,3,3,B,Mexico
21,60477,6,8,A,Canada
62,49553,2,9,B,Canada
28,49357,11,7,A,Argentina
29,31391,7,6,C,Argentina
42,27321,8,2,B,Canada
36,59455,6,3,A,Argentina
24,86158,2,4,A,Peru
50,51801,1,4,A,Argentina
61,33015,3,9,B,Mexico
35,44292,10,2,C,Argentina
22,88533,5,9,A,Argentina
62,75266,1,1,B,Peru
49,87967,1,8,C,Estados Unidos
56,69819,10,8,A,Mexico
37,90313,9,6,C,Urugay
27,77122,4,2,A,Estados Unidos
62,93809,9,3,B,Urugay
64,25365,10,4,C,Argentina
48,40142,8,4,B,Estados Unidos
49,46910,3,3,C,Argentina
30,45819,13,2,C,Estados Unidos
52,84693,4,2,C,Estados Unidos
41,29820,9,3,A,Estados Unidos
50,37925,1,9,C,Argentina
33,29085,10,2,B,Urugay
22,78582,4,9,A,Canada
24,48160,1,2,A,Peru
29,34321,2,3,C,Estados Unidos
35,82900,13,3,A,Peru
40,46686,12,5,C,Estados Unidos
20,64394,1,7,B,Estados Unidos
34,74128,2,4,C,Mexico
59,99692,6,3,A,Argentina
62,51280,13,9,C,Estados Unidos
64,34251,9,8,C,Argentina
47,72997,3,4,B,Argentina
58,95871,14,4,C,Peru
32,48340,5,5,A,Argentina
20,44385,10,8,B,Canada
27,39138,13,8,A,Peru
45,74106,11,6,C,Canada
63,36816,11,8,B,Argentina
30,69939,9,3,C,Mexico
40,86074,3,5,A,Argentina
46,74489,4,3,C,Canada
45,46536,5,8,A,Peru
26,99681,10,8,B,Urugay
51,70185,10,5,A,Urugay
38,55424,9,5,A,Urugay
30,28985,14,2,A,Peru
30,60296,7,4,C,Canada
38,39558,9,5,A,Estados Unidos
37,94305,2,3,B,Canada
44,49759,13,7,C,Estados Unidos
26,91405,9,8,C,Peru
61,70378,2,6,B,Mexico
59,77061,2,3,B,Urugay
40,98893,2,3,A,Argentina
54,36004,8,8,A,Estados Unidos
24,25217,9,9,C,Urugay
26,71279,1,7,B,Argentina
46,51635,10,6,B,Urugay
59,67732,6,1,A,Urugay
40,51864,7,9,B,Urugay
30,96084,6,4,C,Urugay
32,78537,1,6,C,Argentina
27,95281,4,9,A,Estados Unidos
41,34854,13,7,C,Estados Unidos
52,98016,1,3,C,Argentina
22,66678,1,5,A,Urugay
49,45536,5,4,C,Canada
47,43429,5,3,B,Argentina
24,56282,10,3,A,Urugay
32,30659,14,9,A,Peru
43,32054,9,8,B,Argentina
46,34457,4,1,A,Estados Unidos
62,81123,11,3,C,Mexico
40,27050,7,5,A,Mexico
46,57862,14,3,A,Peru
20,68661,9,7,C,Peru
63,87836,6,7,A,Peru
49,68776,6,5,B,Canada
64,35185,5,3,A,Peru
39,52633,14,6,B,Peru
52,59320,9,9,B,Estados Unidos
41,62390,1,7,A,Urugay
24,89859,6,9,A,Canada
21,95043,10,8,C,Peru
63,66058,1,2,C,Peru
42,37351,2,5,B,Mexico
26,98126,9,8,C,Canada
55,51306,8,5,C,Canada
64,69027,10,2,A,Canada
53,56209,1,1,A,Urugay
29,65204,13,4,A,Mexico
50,75418,12,6,B,Urugay
49,56709,4,7,C,Argentina
40,70910,1,7,C,Argentina
51,63557,6,1,B,Mexico
22,75037,5,1,A,Canada
22,47278,13,1,A,Urugay
56,81847,5,9,B,Mexico
28,90325,11,3,B,Estados Unidos
21,59430,4,1,B,Estados Unidos
55,97624,11,7,C,Argentina
61,62935,14,2,C,Argentina
62,81953,9,9,B,Estados Unidos
62,55263,11,7,C,Peru
24,58389,2,8,A,Urugay
47,82663,7,4,C,Canada
61,82884,14,5,B,Mexico
25,98226,14,6,B,Peru
54,45581,13,2,B,Estados Unidos
52,76801,9,7,A,Urugay
51,34049,1,6,C,Urugay
53,84551,9,9,B,Canada
61,27158,7,3,A,Urugay
31,99926,4,9,B,Peru
36,64480,8,5,A,Mexico
40,53565,10,5,A,Peru
57,78024,7,7,C,Canada
40,58208,4,1,C,Estados Unidos
29,61488,10,5,C,Canada
27,82552,4,6,C,Urugay
51,97788,9,6,C,Mexico
26,75459,11,8,B,Estados Unidos
24,40312,1,8,B,Estados Unidos
62,37069,2,3,C,Mexico
62,73216,5,9,A,Mexico
44,38405,6,9,C,Argentina
50,72746,7,6,B,Peru
33,51880,6,1,A,Mexico
23,38194,3,8,B,Urugay
58,65446,3,9,C,Mexico
50,38807,1,6,B,Argentina
47,31352,8,6,C,Peru
33,30349,11,2,A,Peru
35,82614,13,8,B,Urugay
56,88374,8,2,B,Canada
36,97372,6,8,A,Urugay
26,46986,5,3,C,Argentina
40,48301,13,9,C,Peru
27,47872,11,5,B,Argentina
56,32100,5,1,C,Canada
44,62082,14,1,C,Peru
64,56365,2,1,B,Estados Unidos
36,64977,4,9,B,Mexico
39,48781,3,4,B,Mexico
24,93404,2,6,B,Peru
56,37853,14,3,B,Argentina
29,55269,8,6,B,Mexico
23,51500,14,6,C,Urugay
57,81311,14,4,B,Peru
52,63022,9,5,B,Mexico
30,94737,2,5,A,Estados Unidos
44,72423,1,2,C,Peru
42,33726,14,4,A,Argentina
57,89001,11,1,C,Peru
51,60398,3,7,C,Peru
28,49862,11,9,A,Estados Unidos
38,25869,10,9,C,Peru
41,70762,9,2,B,Mexico
21,46634,6,8,A,Urugay
48,90206,2,7,A,Mexico
47,60822,3,7,C,Argentina
61,67845,5,8,B,Mexico
31,87372,1,5,A,Estados Unidos
49,66894,2,2,C,Urugay
26,46287,3,6,A,Urugay
39,70048,7,4,A,Argentina
38,72539,7,3,C,Estados Unidos
58,36417,12,2,C,Estados Unidos
27,46660,7,9,A,Urugay
31,77639,11,1,C,Argentina
35,35636,4,5,C,Urugay
45,93263,11,4,B,Mexico
23,84417,14,7,C,Canada
42,94876,8,4,C,Argentina
62,77383,1,5,C,Canada
25,76521,10,1,A,Estados Unidos
29,26114,12,4,A,Peru
41,30768,3,1,C,Urugay
28,29847,4,1,A,Urugay
39,50491,10,9,C,Mexico
60,76875,12,6,C,Canada
48,66101,9,4,A,Argentina
63,88369,13,7,C,Canada
35,42193,7,5,C,Mexico
34,29175,14,6,A,Argentina
37,43975,12,2,A,Urugay
29,45444,10,9,A,Mexico
42,31174,14,7,C,Urugay
21,36696,7,4,B,Estados Unidos
35,71612,2,2,B,Estados Unidos
60,85996,14,5,A,Argentina
50,37665,10,7,A,Argentina
56,57220,9,6,C,Urugay
21,39507,9,4,B,Argentina
33,75716,11,1,B,Canada
42,94788,12,5,B,Argentina
49,31789,3,5,B,Estados Unidos
43,83524,10,5,B,Peru
35,92953,14,1,A,Urugay
36,67770,3,5,B,Urugay
56,78897,14,5,B,Urugay
30,74900,5,1,C,Estados Unidos
30,70332,9,2,A,Urugay
56,79323,4,3,A,Peru
34,41487,14,5,B,Urugay
36,88981,3,4,C,Argentina
50,37489,2,6,A,Peru
63,74379,3,8,B,Estados Unidos
62,61698,6,6,B,Peru
57,87427,10,3,A,Urugay
29,60311,10,2,B,Urugay
56,54620,1,9,C,Estados Unidos
29,28408,13,7,B,Argentina
60,33016,11,1,C,Peru
43,71789,14,8,B,Peru
34,28237,10,1,C,Peru
20,26849,2,2,C,Canada
33,75316,4,2,A,Canada
28,47501,9,8,B,Mexico
43,53703,8,6,C,Argentina
48,98104,13,1,C,Peru
48,75936,3,1,C,Mexico
34,45714,3,1,C,Estados Unidos
40,27277,14,5,A,Urugay
44,75567,7,1,C,Peru
22,36166,5,9,A,Canada
36,42126,5,5,B,Peru
29,37160,3,8,B,Argentina
25,80704,12,2,B,Peru
24,73395,1,2,C,Peru
29,68641,13,7,C,Mexico
64,35378,7,6,B,Estados Unidos
33,65032,5,8,A,Urugay
62,33666,5,9,C,Canada
22,51807,1,6,A,Canada
37,83372,11,1,A,Estados Unidos
36,78817,4,5,B,Urugay
31,99103,4,2,A,Argentina
63,45605,2,8,B,Argentina
62,45323,11,5,A,Urugay
25,93096,11,5,B,Urugay
26,46043,12,1,B,Urugay
40,49545,8,6,C,Estados Unidos
40,34219,7,5,B,Estados Unidos
39,40033,14,3,B,Estados Unidos
53,51090,4,6,A,Mexico
44,44453,4,3,A,Canada
23,78887,8,2,B,Urugay
31,78377,5,6,C,Urugay
22,57551,10,6,B,Argentina
24,85572,2,4,C,Argentina
58,43897,5,9,C,Mexico
60,60084,7,5,A,Estados Unidos
35,67506,9,2,B,Urugay
64,39238,3,6,B,Estados Unidos
41,50963,14,8,B,Argentina
37,71378,14,7,C,Mexico
54,33847,6,2,B,Argentina
36,81940,6,5,C,Urugay
62,39456,4,7,A,Argentina
53,32229,1,8,B,Canada
49,53724,4,6,B,Urugay
45,71888,10,3,B,Canada
41,99340,8,9,C,Estados Unidos
57,61706,1,9,B,Canada
40,56636,1,8,A,Urugay
26,65754,6,6,C,Urugay
52,30905,5,2,B,Argentina
41,96321,9,6,C,Mexico
32,65411,11,7,B,Argentina
34,45348,6,2,C,Mexico
34,57019,11,3,A,Mexico
32,86845,12,5,A,Canada
20,61674,13,8,C,Peru
55,54870,7,2,A,Estados Unidos
56,33473,6,4,B,Peru
57,75600,10,3,A,Argentina
58,79685,2,9,A,Argentina
22,50886,5,1,C,Canada
25,54207,12,5,A,Argentina
29,70319,1,3,C,Canada
55,70996,14,1,C,Urugay
53,53995,10,7,B,Mexico
39,74053,12,8,C,Urugay
20,45401,8,3,A,Mexico
56,49962,11,6,B,Urugay
23,80687,5,2,B,Peru
39,99150,14,1,A,Urugay
32,68769,10,5,B,Mexico
41,45180,6,4,A,Urugay
61,89251,12,3,A,Estados Unidos
25,62687,1,5,B,Estados Unidos
60,53316,14,3,A,Argentina
54,41906,14,6,B,Mexico
28,76836,6,9,C,Estados Unidos
26,47791,12,1,C,Peru
47,48479,11,2,C,Canada
29,85970,2,5,B,Canada
63,52904,6,1,A,Canada
33,61069,8,8,A,Estados Unidos
34,75760,11,6,A,Estados Unidos
24,85831,8,8,A,Urugay
21,52333,14,1,A,Estados Unidos
51,47846,3,6,C,Urugay
42,91195,11,6,C,Mexico
38,78595,13,7,C,Peru
59,54969,6,7,A,Argentina
61,79656,9,7,B,Urugay
60,80506,13,8,A,Argentina
44,56924,6,4,A,Mexico
62,45020,12,5,C,Urugay
37,36265,3,5,B,Canada
55,44066,8,9,B,Argentina
35,84458,13,8,C,Urugay
55,95302,5,9,A,Canada
39,78776,1,8,A,Estados Unidos
39,30048,9,4,A,Mexico
58,37498,4,4,A,Estados Unidos
38,32949,9,6,C,Estados Unidos
27,43291,6,9,B,Mexico
42,74135,2,7,B,Mexico
54,57426,10,5,C,Urugay
44,74194,13,7,C,Urugay
34,27136,1,5,A,Mexico
27,86490,9,5,B,Mexico
43,88798,11,5,B,Mexico
61,55281,1,9,C,Canada
25,33695,6,2,C,Canada
37,58571,8,2,C,Estados Unidos
33,40586,6,3,B,Argentina
21,70512,7,4,A,Urugay
56,75170,7,3,A,Peru
50,58051,8,1,A,Mexico
59,48911,3,9,B,Canada
32,79960,4,6,B,Urugay
52,45157,10,9,A,Argentina
60,30883,14,8,A,Mexico
50,43881,1,1,B,Mexico
28,82840,8,1,A,Argentina
45,41210,9,5,A,Urugay
36,25486,1,8,A,Peru
46,52383,4,3,A,Mexico
22,77997,13,7,B,Peru
22,34114,8,2,A,Urugay
48,94578,7,5,A,Mexico
22,91569,6,8,C,Mexico
64,86300,5,9,A,Peru
24,91597,2,6,B,Canada
42,81665,4,4,A,Urugay
31,40016,13,1,B,Mexico
22,80927,6,1,C,Argentina
52,38349,13,8,A,Peru
59,47821,4,2,A,Mexico
28,57851,10,3,B,Mexico
34,84095,14,5,C,Urugay
40,25450,2,8,C,Urugay
23,58937,10,2,A,Estados Unidos
24,78104,5,6,A,Mexico
31,91267,9,3,B,Peru
37,68590,12,4,A,Urugay
52,69277,10,4,B,Urugay
43,85851,13,9,A,Mexico
53,92057,9,1,A,Canada
58,93653,9,9,C,Peru
34,99342,11,9,C,Canada
63,28927,6,2,C,Argentina
26,95594,3,1,C,Argentina
32,49483,5,6,A,Urugay
28,81973,2,3,C,Peru
60,54072,12,9,A,Estados Unidos
38,63844,8,9,B,Canada
23,86212,13,6,B,Urugay
43,26737,7,5,C,Mexico
26,74008,10,6,C,Estados Unidos
20,26042,7,3,C,Mexico
36,32393,13,2,C,Peru
60,46846,9,6,C,Estados Unidos
30,96288,6,2,B,Argentina
61,44476,5,1,C,Argentina
41,97157,9,8,B,Argentina
40,87015,8,5,C,Peru
49,95138,11,4,C,Argentina
56,34179,1,8,C,Mexico
50,62996,6,5,C,Canada
46,30189,1,9,C,Peru
39,27671,3,7,B,Mexico
54,39688,14,1,A,Urugay
31,47579,9,6,B,Estados Unidos
30,59221,7,3,A,Mexico
45,71172,13,7,C,Urugay
43,48621,12,5,B,Canada
58,37344,13,5,A,Canada
22,39148,9,5,A,Argentina
29,55613,10,3,C,Urugay
49,93736,13,8,C,Estados Unidos
22,41785,8,3,A,Peru
54,95043,9,6,B,Argentina
29,86925,12,9,B,Mexico
41,81099,5,4,B,Urugay
32,25335,12,1,A,Estados Unidos
53,72527,3,8,A,Urugay
24,37534,5,7,B,Argentina
50,58981,12,7,C,Peru
46,49404,10,1,A,Peru
36,40428,11,2,A,Peru
22,29517,14,5,C,Estados Unidos
38,51380,9,3,A,Argentina
43,89045,1,8,C,Urugay
22,66025,7,3,A,Canada
49,33216,11,7,B,Peru
52,30795,7,6,B,Urugay
48,56609,1,5,A,Canada
51,68976,7,7,B,Canada
63,27386,11,8,B,Estados Unidos
35,97527,4,8,A,Estados Unidos
38,99388,7,5,B,Estados Unidos
33,56795,5,8,C,Canada
41,96313,11,5,B,Argentina
36,72144,11,7,B,Peru
40,47057,1,4,A,Peru
22,70189,9,1,B,Peru
27,28009,10,6,B,Argentina
42,86302,7,1,B,Mexico
36,27429,7,1,C,Peru
47,54833,14,3,A,Urugay
29,57821,1,3,A,Argentina
37,25716,2,5,A,Urugay
64,56323,7,2,A,Argentina
31,61664,5,2,B,Argentina
56,41110,7,9,C,Canada
53,59019,12,6,C,Canada
42,48623,13,3,C,Argentina
63,80085,7,7,A,Mexico
47,34243,1,4,B,Estados Unidos
21,97924,1,9,A,Mexico
53,89280,2,6,A,Argentina
22,85493,13,5,A,Canada
50,67298,1,5,A,Argentina
45,30399,9,6,A,Urugay
62,56341,2,9,A,Estados Unidos
22,95805,7,4,A,Argentina
59,51845,7,1,C,Mexico
46,71971,1,2,A,Argentina
41,93249,14,6,C,Mexico
60,93636,6,5,A,Estados Unidos
22,37405,12,6,A,Peru
62,52894,3,6,C,Peru
58,66753,13,5,A,Argentina
22,42280,8,7,A,Peru
20,91676,9,6,C,Canada
54,58049,3,8,C,Canada
38,82719,12,9,C,Estados Unidos
38,37901,2,5,C,Urugay
37,81994,3,5,A,Urugay
38,38787,2,6,C,Urugay
54,69950,11,9,A,Urugay
60,34482,10,7,C,Canada
56,60682,10,2,A,Mexico
31,81782,14,5,B,Urugay
37,51767,9,2,B,Argentina
43,39674,11,3,C,Peru
62,35510,3,8,A,Canada
46,83560,2,6,C,Estados Unidos
59,88737,13,1,B,Mexico
41,97944,10,7,B,Canada
31,28133,2,7,A,Mexico
48,67494,1,6,B,Mexico
56,88140,4,3,C,Urugay
50,75283,14,1,A,Mexico
31,32779,10,2,C,Estados Unidos
26,83913,14,9,B,Peru
47,81506,14,6,B,Urugay
53,26203,4,8,C,Argentina
33,57966,3,1,C,Mexico
35,86213,11,9,A,Estados Unidos
40,73012,8,4,A,Estados Unidos
31,59215,1,5,A,Argentina
31,46001,3,4,A,Argentina
36,33943,14,2,A,Urugay
30,77399,5,7,C,Mexico
43,30033,1,8,B,Canada
37,85700,6,6,B,Estados Unidos
37,88468,3,5,C,Argentina
51,35658,3,4,B,Mexico
64,25119,5,3,A,Canada
32,52240,6,8,B,Urugay
28,93139,14,6,A,Canada
48,45261,9,7,C,Urugay
39,52425,11,7,B,Urugay
62,79438,12,3,C,Peru
39,31058,3,8,B,Canada
42,86148,6,8,B,Canada
40,27864,8,1,C,Estados Unidos
39,85861,6,4,C,Estados Unidos
32,39391,11,8,A,Argentina
29,44629,4,3,B,Peru
56,46042,13,2,C,Peru
32,84905,3,5,A,Canada
35,68369,14,7,A,Urugay
59,48083,6,8,C,Canada
41,29799,5,3,C,Urugay
62,26407,3,2,A,Peru
48,96476,3,6,B,Argentina
40,68486,11,5,C,Estados Unidos
63,32663,4,9,C,Mexico
59,68823,7,5,C,Argentina
54,26435,6,7,C,Canada
42,98844,1,7,A,Urugay
30,55156,3,1,C,Canada
24,99774,2,9,C,Urugay
59,76678,6,4,A,Argentina
20,90081,12,3,A,Peru
58,39986,6,5,A,Urugay
23,80974,5,5,B,Mexico
43,88756,1,9,A,Urugay
34,52899,5,2,A,Urugay
57,96892,14,7,C,Urugay
24,86538,3,9,A,Argentina
35,65207,3,9,C,Canada
25,98938,2,8,B,Mexico
48,33768,3,9,A,Mexico
45,47235,12,6,B,Mexico
60,32045,11,4,A,Urugay
27,64374,10,7,A,Canada
20,38176,9,9,A,Argentina
25,94695,5,2,A,Mexico
21,63851,6,5,C,Peru
22,60916,7,3,B,Argentina
22,73253,14,8,B,Canada
42,64439,10,2,C,Argentina
41,61209,14,8,B,Peru
64,32841,6,3,B,Estados Unidos
46,75518,9,8,A,Peru
43,37664,7,8,B,Argentina
39,32141,3,3,A,Urugay
41,87180,1,3,B,Canada
30,81855,8,8,B,Urugay
55,26326,6,8,B,Estados Unidos
42,63569,7,3,B,Estados Unidos
27,59789,3,1,C,Estados Unidos
29,87053,2,5,C,Canada
53,37029,2,9,A,Peru
34,91114,10,7,B,Canada
60,93185,2,4,B,Mexico
46,27265,14,9,C,Canada
58,69604,4,8,C,Canada
56,26615,6,4,B,Estados Unidos
23,83003,3,2,B,Urugay
59,45330,9,2,A,Estados Unidos
64,50175,12,9,A,Mexico
58,83119,11,7,B,Canada
31,46339,9,2,B,Estados Unidos
30,68119,2,7,B,Canada
51,29512,12,8,B,Canada
26,79785,8,1,A,Mexico
49,75973,12,5,A,Mexico
24,58991,9,5,A,Urugay
47,88753,3,2,A,Canada
26,32364,8,5,C,Peru
39,80640,8,2,B,Mexico
58,40778,14,3,A,Argentina
43,36957,8,1,B,Estados Unidos
62,46082,13,2,A,Mexico
41,91912,9,1,A,Canada
28,40261,7,3,C,Canada
55,64892,6,6,B,Argentina
22,63361,12,5,A,Argentina
62,64988,6,3,C,Canada
56,53188,13,9,A,Mexico
40,81688,9,2,C,Argentina
43,78726,13,3,C,Estados Unidos
33,66461,8,4,B,Argentina
52,35326,8,8,B,Argentina
46,82043,12,8,C,Estados Unidos
51,37207,3,6,C,Estados Unidos
24,68306,2,7,B,Urugay
30,29483,4,8,C,Peru
60,65601,14,9,B,Mexico
