location,vendor,lat,lon,bathrooms,parking_lots,num_bedrooms,m2,final_price,price_square_meter,ZIP,Calle,Ciudad
"Roma Sur, Cuauhtémoc, Distrito Federal",Incitybienesraices,19.4043698,-99.1636062,2.0,2,3.0,180.0,11050000.0,61388.88888888889,06760,Calle Monclova,Ciudad de México
"Roma Sur, Cuauhtémoc, Distrito Federal",Incitybienesraices,19.4043698,-99.1636062,2.0,2,3.0,157.0,9880000.0,62929.93630573248,06760,Calle Monclova,Ciudad de México
"Roma Sur, Cuauhtémoc, Distrito Federal",Incitybienesraices,19.4043698,-99.1636062,2.0,2,3.0,111.0,7010000.0,63153.15315315315,06760,Calle Monclova,Ciudad de México
"Roma Sur, Cuauhtémoc, Distrito Federal",Incitybienesraices,19.4043698,-99.1636062,2.0,2,3.0,112.0,6790000.0,60625.0,06760,Calle Monclova,Ciudad de México
"Roma Sur, Cuauhtémoc, Distrito Federal",Incitybienesraices,19.4043698,-99.1636062,2.0,2,3.0,149.0,9670000.0,64899.328859060406,06760,Calle Monclova,Ciudad de México
"Roma Sur, Cuauhtémoc, Distrito Federal",Incitybienesraices,19.4043698,-99.1636062,2.0,2,3.0,114.0,7332973.0,64324.32456140351,06760,Calle Monclova,Ciudad de México
"Aguascalientes, Roma Sur, Cuauhtémoc, Distrito Federal",Habitare Luxury Living,19.4090847,-99.1643185,2.0,1,2.0,145.0,9859115.0,67993.89655172414,06760,Aguascalientes,Ciudad de México
"Roma Sur, Cuauhtémoc, Distrito Federal",Incitybienesraices,19.4043698,-99.1636062,1.0,1,1.0,41.0,3382500.0,82500.0,06760,Calle Monclova,Ciudad de México
"Roma Sur, Cuauhtémoc, Distrito Federal",Incitybienesraices,19.4043698,-99.1636062,1.0,1,1.0,54.0,4515000.0,83611.11111111111,06760,Calle Monclova,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Incitybienesraices,19.4195256,-99.162549,1.0,1,1.0,56.0,4496000.0,80285.71428571429,06700,Calle de Durango,Ciudad de México
"Roma Sur, Cuauhtémoc, Distrito Federal",Incitybienesraices,19.4043698,-99.1636062,1.0,1,1.0,63.0,5257500.0,83452.38095238095,06760,Calle Monclova,Ciudad de México
"Roma Sur, Cuauhtémoc, Distrito Federal",Incitybienesraices,19.4043698,-99.1636062,1.0,1,1.0,49.0,4102500.0,83724.48979591837,06760,Calle Monclova,Ciudad de México
"Roma Sur, Cuauhtémoc, Distrito Federal",Incitybienesraices,19.4043698,-99.1636062,1.0,1,1.0,38.0,3195000.0,84078.94736842105,06760,Calle Monclova,Ciudad de México
"Viaducto Miguel Alemán, Roma Sur, Cuauhtémoc, Distrito Federal",Jrasesores,19.4020904,-99.1626636,2.0,1,2.0,84.0,4061500.0,48351.19047619047,03103,Alaska,Ciudad de México
"Roma Sur, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4127205,-99.1547904,1.0,1,1.0,48.0,3306533.0,68886.10416666667,06700,Avenida Cuauhtémoc,Ciudad de México
"Querétaro, Roma Norte, Cuauhtémoc, Distrito Federal",Inmobiliariahaz,19.4136591,-99.1653045,2.0,1,2.0,89.0,5399999.0,60674.14606741573,06700,Calle Querétaro,Ciudad de México
"Aguascalientes, Roma Sur, Cuauhtémoc, Distrito Federal",Habitare Luxury Living,19.4090847,-99.1643185,1.0,1,2.0,67.0,4314445.0,64394.701492537315,06760,Aguascalientes,Ciudad de México
"Aguascalientes, Roma Sur, Cuauhtémoc, Distrito Federal",Habitare Luxury Living,19.4090847,-99.1643185,2.0,1,2.0,74.0,4996100.0,67514.86486486487,06760,Aguascalientes,Ciudad de México
"Roma Sur, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4052747,-99.1690454,2.0,1,2.0,91.0,4850000.0,53296.703296703294,06760,Calle Chilpancingo,Ciudad de México
"Roma Sur, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.405299,-99.1649891,1.0,1,1.0,45.0,3615970.0,80354.88888888889,06760,Quintana Roo,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4184344,-99.1558187,1.0,1,1.0,60.0,3395000.0,56583.333333333336,06700,Frontera,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,2.0,1,3.0,86.0,4495000.0,52267.441860465115,06700,Calle de Durango,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,2.0,1,2.0,81.0,5292000.0,65333.333333333336,06700,Calle de Durango,Ciudad de México
"Av Chapultepec, Roma Norte, Cuauhtémoc, Distrito Federal",Aire Y Acero Inmobiliaria,19.418153,-99.1652014,1.0,1,1.0,37.0,2792170.0,75464.05405405405,06700,Tabasco,Ciudad de México
"Roma Sur, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.405299,-99.1649891,1.0,1,1.0,48.0,3034124.0,63210.916666666664,06760,Quintana Roo,Ciudad de México
"Roma Sur, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.405299,-99.1649891,3.0,1,2.0,176.0,9500000.0,53977.27272727273,06760,Quintana Roo,Ciudad de México
"Roma Sur, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.405299,-99.1649891,3.0,2,2.0,126.0,8700000.0,69047.61904761905,06760,Quintana Roo,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,2.0,1,3.0,86.0,4495000.0,52267.441860465115,06700,Calle de Durango,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4158401,-99.1596792,3.0,2,3.0,284.0,12900000.0,45422.535211267605,06700,Zacatecas,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,2.0,2,2.0,85.0,3995000.0,47000.0,06700,Calle de Durango,Ciudad de México
"Querétaro, Roma Norte, Cuauhtémoc, Distrito Federal",Jrasesores,19.4195256,-99.162549,3.0,1,3.0,152.0,8500000.0,55921.05263157895,06700,Calle de Durango,Ciudad de México
"Roma Sur, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.405299,-99.1649891,3.0,1,3.0,193.0,6195000.0,32098.44559585492,06760,Quintana Roo,Ciudad de México
"Coahuila, Roma Norte, Cuauhtémoc, Distrito Federal",Morris Lan,19.4119026,-99.1596531,2.0,2,2.0,97.0,6042960.0,62298.55670103093,06700,Coahuila,Ciudad de México
"Roma Sur, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.405299,-99.1649891,2.0,1,2.0,111.0,5550000.0,50000.0,06760,Quintana Roo,Ciudad de México
"Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4301322,-99.1691413,2.0,1,2.0,104.0,5350000.0,51442.307692307695,06500,Eje Vial Eje 2 Poniente (Rio Tiber),Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,2.0,1,3.0,86.0,4495000.0,52267.441860465115,06700,Calle de Durango,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,2.0,1,3.0,86.0,4495000.0,52267.441860465115,06700,Calle de Durango,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,2.0,1,3.0,86.0,4495000.0,52267.441860465115,06700,Calle de Durango,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,3.0,2,3.0,284.0,12900000.0,45422.535211267605,06700,Calle de Durango,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,1.0,1,1.0,60.0,3595000.0,59916.666666666664,06700,Calle de Durango,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4196927,-99.1560364,1.0,1,1.0,60.0,3395000.0,56583.333333333336,06700,Frontera,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,1.0,1,1.0,57.0,3780000.0,66315.78947368421,06700,Calle de Durango,Ciudad de México
"Alejandría 111, Roma, Monterrey, Nuevo León",Century21 Urbana,25.656675,-100.2944792,1.0,1,1.0,40.0,2325668.0,58141.7,64700,Alejandría,Nuevo León
"Roma Sur, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.405299,-99.1649891,2.0,1,2.0,111.0,5550000.0,50000.0,06760,Quintana Roo,Ciudad de México
"Quintana Roo, Roma Sur, Cuauhtémoc, Distrito Federal",Inmobiliariahaz,19.4057258,-99.1637564,2.0,2,2.0,78.0,4500000.0,57692.307692307695,06760,Quintana Roo,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,2.0,1,2.0,81.0,5393000.0,66580.24691358025,06700,Calle de Durango,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,1.0,1,1.0,42.0,2595000.0,61785.71428571428,06700,Calle de Durango,Ciudad de México
"Roma Sur, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.405299,-99.1649891,1.0,1,1.0,48.0,2862381.0,59632.9375,06760,Quintana Roo,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,2.0,2,3.0,90.0,4495000.0,49944.444444444445,06700,Calle de Durango,Ciudad de México
"Roma Sur, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.405299,-99.1649891,3.0,2,2.0,107.0,7040000.0,65794.39252336448,06760,Quintana Roo,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,2.0,1,2.0,71.0,4455000.0,62746.47887323944,06700,Calle de Durango,Ciudad de México
"Roma Sur, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.405299,-99.1649891,3.0,2,2.0,107.0,7040000.0,65794.39252336448,06760,Quintana Roo,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4137406,-99.1610013,2.0,2,2.0,163.0,9935982.0,60956.94478527607,06700,Eje Vial 2A Sur,Ciudad de México
"Roma Sur, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4356338,-99.1495107,1.0,1,1.0,44.0,3615979.0,82181.34090909091,06030,Paseo de La Reforma Norte,Ciudad de México
"Roma Sur, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4356338,-99.1495107,1.0,1,1.0,44.0,3615970.0,82181.13636363637,06030,Paseo de La Reforma Norte,Ciudad de México
"Roma Sur, Cuauhtémoc, Distrito Federal",Jrasesores,19.405299,-99.1649891,2.0,1,2.0,78.0,4186666.0,53675.205128205125,06760,Quintana Roo,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4161012,-99.1653105,1.0,1,1.0,39.0,2980000.0,76410.2564102564,06700,Roma Norte,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4160872,-99.1653105,1.0,1,1.0,39.0,2980000.0,76410.2564102564,06170,Avenida Insurgentes Sur,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,1.0,1,1.0,39.0,2980000.0,76410.2564102564,06700,Calle de Durango,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,2.0,1,1.0,67.0,4250000.0,63432.835820895525,06700,Calle de Durango,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,1.0,1,1.0,60.0,3595000.0,59916.666666666664,06700,Calle de Durango,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4356338,-99.1495107,1.0,1,1.0,39.0,2980000.0,76410.2564102564,06030,Paseo de La Reforma Norte,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,1.0,1,1.0,60.0,3395000.0,56583.333333333336,06700,Calle de Durango,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,2.0,1,2.0,110.0,7962400.0,72385.45454545454,06700,Calle de Durango,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4158401,-99.1596792,2.0,2,3.0,90.0,4495000.0,49944.444444444445,06700,Zacatecas,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,1.0,1,1.0,57.0,3950000.0,69298.24561403508,06700,Calle de Durango,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4229547,-99.1652534,2.0,1,2.0,61.0,4430000.0,72622.95081967213,06700,Roma Norte,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4229547,-99.1652534,2.0,1,2.0,86.0,4913500.0,57133.72093023256,06700,Roma Norte,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,1.0,1,1.0,39.0,2980000.0,76410.2564102564,06700,Calle de Durango,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,3.0,1,2.0,122.0,8400000.0,68852.45901639345,06700,Calle de Durango,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,3.0,1,2.0,122.0,8400000.0,68852.45901639345,06700,Calle de Durango,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,1.0,1,1.0,61.0,4430000.0,72622.95081967213,06700,Calle de Durango,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,2.0,1,2.0,71.0,4455000.0,62746.47887323944,06700,Calle de Durango,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Incitybienesraices,19.4195256,-99.162549,1.0,1,1.0,39.0,3217500.0,82500.0,06700,Calle de Durango,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Incitybienesraices,19.4195256,-99.162549,1.0,1,1.0,38.0,3155000.0,83026.31578947368,06700,Calle de Durango,Ciudad de México
"Roma Sur, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.405299,-99.1649891,2.0,2,3.0,111.0,6426000.0,57891.89189189189,06760,Quintana Roo,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,2.0,1,2.0,91.0,5145000.0,56538.46153846154,06700,Calle de Durango,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,1.0,1,1.0,57.0,3750000.0,65789.47368421052,06700,Calle de Durango,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,2.0,1,1.0,67.0,4278000.0,63850.74626865672,06700,Calle de Durango,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,2.0,1,2.0,71.0,4390000.0,61830.98591549296,06700,Calle de Durango,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,2.0,1,1.0,74.0,4780000.0,64594.59459459459,06700,Calle de Durango,Ciudad de México
"Roma Sur, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.405299,-99.1649891,3.0,2,2.0,120.0,7550000.0,62916.666666666664,06760,Quintana Roo,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,1.0,1,1.0,39.0,2980000.0,76410.2564102564,06700,Calle de Durango,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,1.0,1,1.0,37.0,3848548.0,104014.8108108108,06700,Calle de Durango,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4181605,-99.1584569,2.0,1,2.0,78.0,4826900.0,61883.333333333336,06700,Córdoba,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4181605,-99.1584569,2.0,1,2.0,78.0,4826900.0,61883.333333333336,06700,Córdoba,Ciudad de México
"Roma Sur, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.405299,-99.1649891,2.0,1,2.0,74.0,4229827.0,57159.82432432433,06760,Quintana Roo,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,1.0,1,2.0,78.0,4483800.0,57484.61538461538,06700,Calle de Durango,Ciudad de México
"Roma Sur, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4356338,-99.1495107,1.0,1,1.0,45.0,3615970.0,80354.88888888889,06030,Paseo de La Reforma Norte,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,1.0,1,1.0,39.0,2980000.0,76410.2564102564,06700,Calle de Durango,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,2.0,1,1.0,67.0,4250000.0,63432.835820895525,06700,Calle de Durango,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,2.0,1,1.0,69.0,4335000.0,62826.086956521736,06700,Calle de Durango,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,1.0,1,1.0,57.0,3725000.0,65350.87719298246,06700,Calle de Durango,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,2.0,1,2.0,65.0,4330000.0,66615.38461538461,06700,Calle de Durango,Ciudad de México
"Roma Sur, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.405299,-99.1649891,2.0,1,2.0,91.0,5145000.0,56538.46153846154,06760,Quintana Roo,Ciudad de México
"Narvarte, Benito Juárez, Distrito Federal",Rent A House Cdmx,19.3941411,-99.1425459,2.0,2,3.0,122.0,5795000.0,47500.0,03400,Andalucía,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,3.0,2,2.0,173.0,9151840.0,52900.80924855491,06700,Calle de Durango,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,1.0,1,1.0,43.0,3370000.0,78372.09302325582,06700,Calle de Durango,Ciudad de México
"Roma Norte, Ciudad De México, Cdmx, México, Roma Norte, Cuauhtémoc, Distrito Federal",Pireal Estate,19.4195256,-99.162549,2.0,1,1.0,63.0,4454120.0,70700.31746031746,06700,Calle de Durango,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4158401,-99.1596792,3.0,1,3.0,284.0,14700000.0,51760.56338028169,06700,Zacatecas,Ciudad de México
"Roma Sur, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4356338,-99.1495107,2.0,1,2.0,145.0,6084392.0,41961.324137931035,06030,Paseo de La Reforma Norte,Ciudad de México
"Cuauhtémoc, Distrito Federal",Rematadascom,19.4021495,-99.170374,2.0,1,3.0,111.0,2942543.0,26509.3963963964,06100,Calle Bajío,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Incitybienesraices,19.4124955,-99.1577268,2.0,1,2.0,132.0,6853000.0,51916.666666666664,06700,Coahuila,Ciudad de México
"Roma Sur, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4356338,-99.1495107,2.0,1,2.0,145.0,6084392.0,41961.324137931035,06030,Paseo de La Reforma Norte,Ciudad de México
"Roma Sur, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.405299,-99.1649891,2.0,1,2.0,78.0,4100000.0,52564.10256410256,06760,Quintana Roo,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4158401,-99.1596792,3.0,2,3.0,284.0,14700000.0,51760.56338028169,06700,Zacatecas,Ciudad de México
"Cuauhtémoc, Distrito Federal",Rematadascom,19.407944,-99.1675301,2.0,1,3.0,96.0,2327000.0,24239.583333333332,06760,Avenida Insurgentes Sur,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Incitybienesraices,19.4124955,-99.1577268,1.0,1,2.0,59.0,4290000.0,72711.86440677966,06700,Coahuila,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Incitybienesraices,19.4124955,-99.1577268,2.0,1,2.0,64.0,4312000.0,67375.0,06700,Coahuila,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Incitybienesraices,19.4124955,-99.1577268,1.0,1,1.0,41.0,3269750.0,79750.0,06700,Coahuila,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Incitybienesraices,19.4124955,-99.1577268,1.0,1,1.0,43.0,3429250.0,79750.0,06700,Coahuila,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Incitybienesraices,19.4124955,-99.1577268,2.0,1,2.0,126.0,6600000.0,52380.95238095238,06700,Coahuila,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Incitybienesraices,19.4124955,-99.1577268,2.0,1,2.0,63.0,4202000.0,66698.41269841269,06700,Coahuila,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Incitybienesraices,19.4124955,-99.1577268,1.0,1,2.0,76.0,4631000.0,60934.21052631579,06700,Coahuila,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Incitybienesraices,19.4124955,-99.1577268,1.0,1,1.0,51.0,3840000.0,75294.11764705883,06700,Coahuila,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Incitybienesraices,19.4124955,-99.1577268,2.0,1,2.0,62.0,4279000.0,69016.12903225806,06700,Coahuila,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Jrasesores,19.4195256,-99.162549,3.0,2,3.0,157.0,9401000.0,59878.980891719744,06700,Calle de Durango,Ciudad de México
"Roma Sur, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.405299,-99.1649891,2.0,1,2.0,78.0,4100000.0,52564.10256410256,06760,Quintana Roo,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,1.0,1,1.0,57.0,3640000.0,63859.649122807015,06700,Calle de Durango,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,1.0,1,1.0,43.0,3370000.0,78372.09302325582,06700,Calle de Durango,Ciudad de México
"Roma Sur, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.405299,-99.1649891,2.0,2,2.0,74.0,4229827.0,57159.82432432433,06760,Quintana Roo,Ciudad de México
"Roma Sur, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4126449,-99.1612825,2.0,2,2.0,82.0,5006474.0,61054.560975609755,06700,Tonalá,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4195256,-99.162549,1.0,1,1.0,43.0,3370000.0,78372.09302325582,06700,Calle de Durango,Ciudad de México
"Roma Sur, Cuauhtémoc, Distrito Federal",Promoluxury,19.405299,-99.1649891,2.0,1,2.0,141.0,9859115.0,69922.80141843972,06760,Quintana Roo,Ciudad de México
"Roma Sur, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4076742,-99.1600444,2.0,2,2.0,74.0,4229827.0,57159.82432432433,06760,Tonalá,Ciudad de México
"Roma Sur, Cuauhtémoc, Distrito Federal",Jrasesores,19.405299,-99.1649891,2.0,1,2.0,67.0,4100000.0,61194.02985074627,06760,Quintana Roo,Ciudad de México
"Roma Sur, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.405299,-99.1649891,2.0,1,2.0,91.0,5145000.0,56538.46153846154,06760,Quintana Roo,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4218675,-99.1636483,1.0,1,1.0,39.0,2980000.0,76410.2564102564,06700,Avenida Insurgentes Sur,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4247667,-99.157579,2.0,1,2.0,91.0,5950000.0,65384.61538461538,06700,Eje Vial 1 Sur,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4356338,-99.1495107,2.0,1,2.0,167.0,8250000.0,49401.19760479042,06030,Paseo de La Reforma Norte,Ciudad de México
"Roma Norte, Cuauhtémoc, Distrito Federal",Rent A House Cdmx,19.4356338,-99.1495107,2.0,2,3.0,162.0,10249470.0,63268.333333333336,06030,Paseo de La Reforma Norte,Ciudad de México
"Roma Sur, Cuauhtémoc, Distrito Federal",Incitybienesraices,19.4063936,-99.1638207,2.0,2,2.0,140.0,6990000.0,49928.57142857143,06760,Eje 3 Sur Sin Número,Ciudad de México
